id,tripId,scheduleRelationship,routeId,directionId,latitude,longitude,currentStopSequence,currentStatus,timestamp,stopId,id,licensePlate
2237_764,33708_1Z764_1_7_v_13_168_ASC,0,168,0,38.750179290771484,-9.160900115966797,2,2,1691159055,13507,2237,06-27-XX
2487_764,33713_6Z764_1_7_v_10_168_ASC,0,168,0,38.74494934082031,-9.1899995803833,18,2,1691159064,10822,2487,54-BH-97
2701_711,34043_3Z711_1_7_v_11_101_ASC,0,101,0,38.7515983581543,-9.206080436706543,16,2,1691159064,50231,2701,92-XQ-35
2756_711,34048_5Z711_1_7_v_11_101_ASC,0,101,0,38.72587966918945,-9.160679817199707,1,2,1691159068,50309,2756,AH-27-ND
2769_711,34039_1Z711_1_7_v_11_101_ASC,0,101,0,38.74296188354492,-9.218609809875488,23,2,1691158493,3020,2769,"AH-19-ND "
2266_746,34250_82Z746_1_7_v_11_108_ASC,0,108,0,38.743961334228516,-9.17710018157959,9,2,1691159070,10706,2266,76-92-ZG
2781_746,34255_84Z746_1_7_v_11_108_ASC,0,108,0,38.74729919433594,-9.189279556274414,13,2,1691158801,10826,2781,AI-00-BT
2778_746,34082_4Z746_1_7_v_13_108_ASC,0,108,0,38.738548278808594,-9.163399696350098,4,2,1691159067,1507,2778,AI-08-BT
2777_746,34081_3Z746_1_7_v_15_108_ASC,0,108,0,38.749000549316406,-9.191049575805664,14,2,1691158837,10814,2777,AI-01-BT
1743_735,33668_1Z735_1_7_v_10_172_DESC,0,172,1,38.70534896850586,-9.143329620361328,33,2,1691159066,50589,1743,92-HR-00
2490_735,33670_3Z735_1_7_v_10_172_DESC,0,172,1,38.721309661865234,-9.129179954528809,20,2,1691159040,9110,2490,55-BH-01
1755_735,33669_2Z735_1_7_v_8_172_DESC,0,172,1,38.70758056640625,-9.133330345153809,32,2,1691159064,50591,1755,34-HU-21
2491_735,33672_5Z735_1_7_v_10_172_DESC,0,172,1,38.74245071411133,-9.137630462646484,10,2,1691159055,306,2491,54-BH-98
505_15E,34014_3Z15E_1_7_v_10_76_DESC,0,76,1,38.699581146240234,-9.184809684753418,11,2,1691159057,9505,505,
508_15E,34013_2Z15E_1_7_v_14_76_DESC,0,76,1,38.69599914550781,-9.219249725341797,4,2,1691159048,13203,508,
551_15E,34027_63Z15E_1_7_v_8_76_DESC,0,76,1,38.699378967285156,-9.228879928588867,1,2,1691158910,4215,551,
2299_15E,34028_64Z15E_1_7_v_8_76_DESC,0,76,1,38.695030212402344,-9.215729713439941,5,2,1691159068,13205,2299,83-14-ZM
4610_15E,34029_71Z15E_1_7_v_11_76_DESC,0,76,1,38.704811096191406,-9.177379608154297,14,2,1691159049,12115,4610,96-GL-87
573_18E,33363_2Z18E_1_7_v_16_78_DESC,0,78,1,38.704750061035156,-9.177729606628418,14,2,1691159049,12115,573,
2706_714,33470_7Z714_1_7_v_8_102_DESC,0,102,1,38.69752883911133,-9.19810962677002,22,2,1691159064,4113,2706,92-XQ-46
2687_714,33468_5Z714_1_7_v_10_102_DESC,0,102,1,38.7063102722168,-9.145130157470703,38,2,1691159058,3803,2687,93-XA-44
2722_714,33467_4Z714_1_7_v_10_102_DESC,0,102,1,38.70444869995117,-9.165109634399414,31,2,1691159051,10209,2722,92-XQ-36
2686_714,33465_2Z714_1_7_v_10_102_DESC,0,102,1,38.7063102722168,-9.147600173950195,37,2,1691159060,7101,2686,99-XE-58
2704_732,33772_2Z732_1_7_v_12_107_DESC,0,107,1,38.711578369140625,-9.214799880981445,2,2,1691159065,10403,2704,92-XQ-18
2700_732,33778_6Z732_1_7_v_12_107_DESC,0,107,1,38.70307922363281,-9.193750381469727,15,2,1691158981,13401,2700,92-XQ-26
2238_758,33692_10Z758_1_7_v_10_150_DESC,0,150,1,38.746761322021484,-9.184280395507812,9,2,1691159054,10829,2238,06-29-XX
2243_758,33688_6Z758_1_7_v_10_150_DESC,0,150,1,38.72040939331055,-9.159059524536133,24,2,1691159044,6815,2243,22-36-ZB
2296_758,33691_9Z758_1_7_v_8_150_DESC,0,150,1,38.74401092529297,-9.1773099899292,11,2,1691159065,10703,2296,92-51-ZM
2268_758,33690_8Z758_1_7_v_10_150_DESC,0,150,1,38.72785949707031,-9.162300109863281,19,2,1691159052,6122,2268,76-87-ZG
2639_781,33574_5Z781_1_7_v_11_151_DESC,0,151,1,38.72441101074219,-9.112130165100098,25,2,1691159057,8310,2639,75-VS-47
