pattern_id;stop_sequence;stop_id;zones
2021_2_2;22;070242;Loures
2021_2_2;23;070244;Loures
2021_2_2;24;070252;Loures
2021_2_2;25;070247;Loures
2021_2_2;26;070029;Loures
2021_2_2;27;070032;Loures
2021_2_2;28;070250;Loures
2021_2_2;29;070389;Loures
2021_2_2;30;070388;Loures
2021_3_2;0;070427;Loures
2021_3_2;1;070425;Loures
2021_3_2;2;070430;Loures
2021_3_2;3;070431;Loures
2021_3_2;4;070419;Loures
2021_3_2;5;070417;Loures
2021_3_2;6;070416;Loures
2021_3_2;7;070414;Loures
2021_3_2;8;070445;Loures
2021_3_2;9;070412;Loures
2021_3_2;10;070409;Loures
2021_3_2;11;070408;Loures
2021_3_2;12;070406;Loures
2021_3_2;13;070404;Loures
2021_3_2;14;070433;Loures
2021_3_2;15;070400;Loures
2021_3_2;16;070398;Loures
2021_3_2;17;070396;Loures
2021_3_2;18;070393;Loures
2021_3_2;19;070391;Loures
2021_3_2;20;070236;Loures
2021_3_2;21;070238;Loures
2021_3_2;22;070240;Loures
2021_3_2;23;070242;Loures
2021_3_2;24;070244;Loures
2021_3_2;25;070252;Loures
2021_3_2;26;070247;Loures
2021_3_2;27;070029;Loures
2021_3_2;28;070032;Loures
2022_0_1;0;071657;Loures
2022_0_1;1;070035;Loures
2022_0_1;2;070037;Loures
2022_0_1;3;070248;Loures
2022_0_1;4;070251;Loures
2022_0_1;5;070243;Loures
2022_0_1;6;070241;Loures
2022_0_1;7;070239;Loures
2022_0_1;8;070237;Loures
2022_0_1;9;070235;Loures
2022_0_1;10;070392;Loures
2022_0_1;11;070394;Loures
2022_0_1;12;070395;Loures
2022_0_1;13;070397;Loures
2022_0_1;14;070399;Loures
2022_0_1;15;070401;Loures
2022_0_1;16;070403;Loures
2022_0_1;17;070405;Loures
2022_0_1;18;070407;Loures
2022_0_1;19;070410;Loures
2022_0_1;20;070411;Loures
2022_0_1;21;070413;Loures
2022_0_1;22;070415;Loures
2022_0_1;23;070418;Loures
2022_0_1;24;070455;Loures
2022_0_1;25;072222;Loures
2022_0_1;26;070459;Loures
2022_0_1;27;072221;Loures
2022_0_1;28;072219;Loures
2022_0_1;29;070465;Loures
2022_0_2;0;070466;Loures
2022_0_2;1;072220;Loures
2022_0_2;2;070467;Loures
2022_0_2;3;070460;Loures
2022_0_2;4;072223;Loures
2022_0_2;5;070456;Loures
2022_0_2;6;070417;Loures
2022_0_2;7;070416;Loures
2022_0_2;8;070414;Loures
2022_0_2;9;070412;Loures
2022_0_2;10;070409;Loures
2022_0_2;11;070408;Loures
2022_0_2;12;070406;Loures
2022_0_2;13;070404;Loures
2022_0_2;14;070433;Loures
2022_0_2;15;070400;Loures
2022_0_2;16;070398;Loures
2022_0_2;17;070396;Loures
2022_0_2;18;070393;Loures
2022_0_2;19;070391;Loures
2022_0_2;20;070236;Loures
2022_0_2;21;070238;Loures
2022_0_2;22;070240;Loures
2022_0_2;23;070242;Loures
2022_0_2;24;070244;Loures
2022_0_2;25;070252;Loures
2022_0_2;26;070247;Loures
2022_0_2;27;070029;Loures
2022_0_2;28;070032;Loures
2022_0_2;29;070250;Loures
2022_0_2;30;071658;Loures
2023_0_1;0;070470;Loures
2023_0_1;1;070369;Loures
2023_0_1;2;070374;Loures
2023_0_1;3;070472;Loures
2023_0_1;4;070473;Loures
2023_0_1;5;070475;Loures
2023_0_1;6;070477;Loures
2023_0_1;7;070479;Loures
2023_0_1;8;070032;Loures
2023_0_1;9;070250;Loures
2023_0_1;10;070043;Loures
2023_0_1;11;070481;Loures
2023_0_1;12;070484;Loures
